# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4481701	4483011	-	WP_000219465.1	WP_000219465.1		UDP-N-acetylmuramate--L-alanine ligase	murC		BA_RS23200	1311	436	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4483264	4484382	-							BA_RS23205	1119		old_locus_tag=BA4939,BA_4939
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4483264	4484382	-	WP_000658367.1	WP_000658367.1		nicotinate phosphoribosyltransferase			BA_RS23205	1119	372	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4484444	4488379	-							BA_RS23210	3936		old_locus_tag=BA4940,BA_4940
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4484444	4488379	-	WP_000888038.1	WP_000888038.1		DNA translocase FtsK			BA_RS23210	3936	1311	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4488601	4488945	-							BA_RS23215	345		old_locus_tag=BA4941,BA_4941
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4488601	4488945	-	WP_000813356.1	WP_000813356.1		hypothetical protein			BA_RS23215	345	114	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4489380	4489994	-							BA_RS23220	615		old_locus_tag=BA4943,BA_4943
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4489380	4489994	-	WP_001006759.1	WP_001006759.1		DUF4479 domain-containing tRNA-binding protein			BA_RS23220	615	204	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4489991	4490803	-							BA_RS23225	813		old_locus_tag=BA4944,BA_4944
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4489991	4490803	-	WP_003170695.1	WP_003170695.1		DUF1444 domain-containing protein			BA_RS23225	813	270	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4490883	4491197	-							BA_RS23230	315		old_locus_tag=BA4945,BA_4945
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4490883	4491197	-	WP_000838193.1	WP_000838193.1		thioredoxin family protein			BA_RS23230	315	104	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4491281	4491790	-							BA_RS23235	510		old_locus_tag=BA4946,BA_4946
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4491281	4491790	-	WP_000869926.1	WP_000869926.1		DUF84 family protein			BA_RS23235	510	169	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4492032	4493105	-							BA_RS23240	1074		old_locus_tag=BA4947,BA_4947
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4492032	4493105	-	WP_001031503.1	WP_001031503.1		M42 family metallopeptidase			BA_RS23240	1074	357	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4493254	4493565	+							BA_RS23245	312		old_locus_tag=BA4948,BA_4948
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4493254	4493565	+	WP_000118539.1	WP_000118539.1		PepSY domain-containing protein			BA_RS23245	312	103	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4493801	4494655	-							BA_RS23250	855		old_locus_tag=BA4949,BA_4949
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4493801	4494655	-	WP_000436857.1	WP_000436857.1		MBL fold metallo-hydrolase			BA_RS23250	855	284	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4494725	4495378	-					trmB		BA_RS23255	654		old_locus_tag=BA4950,BA_4950
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4494725	4495378	-	WP_001239380.1	WP_001239380.1		tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB		BA_RS23255	654	217	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4495611	4495889	+							BA_RS23260	279		old_locus_tag=BA4951,BA_4951
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4495611	4495889	+	WP_001122234.1	WP_001122234.1		YtzH-like family protein			BA_RS23260	279	92	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4495893	4496690	-							BA_RS23265	798		old_locus_tag=BA4952,BA_4952
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4495893	4496690	-	WP_001055736.1	WP_001055736.1		phosphotransferase family protein			BA_RS23265	798	265	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4496920	4499061	-					pulA		BA_RS23270	2142		old_locus_tag=BA4953,BA_4953
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4496920	4499061	-	WP_000921730.1	WP_000921730.1		type I pullulanase	pulA		BA_RS23270	2142	713	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4499199	4499744	-					thpR		BA_RS23275	546		old_locus_tag=BA4955,BA_4955
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4499199	4499744	-	WP_000433237.1	WP_000433237.1		RNA 2',3'-cyclic phosphodiesterase	thpR		BA_RS23275	546	181	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4499848	4501253	-					pepV		BA_RS23280	1406		pseudo;old_locus_tag=BA4956,BA_4956
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4499848	4501253	-				dipeptidase PepV	pepV		BA_RS23280	1406		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4501611	4501832	+							BA_RS23285	222		old_locus_tag=BA4957,BA_4957
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4501611	4501832	+	WP_000805512.1	WP_000805512.1		DeoR family transcriptional regulator			BA_RS23285	222	73	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4501914	4502642	-							BA_RS23290	729		old_locus_tag=BA4958,BA_4958
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4501914	4502642	-	WP_001234934.1	WP_001234934.1		rRNA pseudouridine synthase			BA_RS23290	729	242	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4502684	4504336	-							BA_RS23295	1653		old_locus_tag=BA4959,BA_4959
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4502684	4504336	-	WP_001284049.1	WP_001284049.1		polysaccharide biosynthesis protein			BA_RS23295	1653	550	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4504591	4505862	+							BA_RS23300	1272		old_locus_tag=BA4960,BA_4960
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4504591	4505862	+	WP_000558885.1	WP_000558885.1		NAD(P)/FAD-dependent oxidoreductase			BA_RS23300	1272	423	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4506147	4507583	+							BA_RS23305	1437		old_locus_tag=BA4961,BA_4961
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4506147	4507583	+	WP_001228009.1	WP_001228009.1		MFS transporter			BA_RS23305	1437	478	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4507615	4507938	-							BA_RS23310	324		old_locus_tag=BA4962,BA_4962
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4507615	4507938	-	WP_000098841.1	WP_000098841.1		metalloregulator ArsR/SmtB family transcription factor			BA_RS23310	324	107	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4507939	4508370	-							BA_RS23315	432		old_locus_tag=BA4963,BA_4963
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4507939	4508370	-	WP_000437669.1	WP_000437669.1		SRPBCC domain-containing protein			BA_RS23315	432	143	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4508794	4509021	+							BA_RS23320	228		old_locus_tag=BA4964,BA_4964
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4508794	4509021	+	WP_000498981.1	WP_000498981.1		DUF3973 domain-containing protein			BA_RS23320	228	75	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509056	4509238	-							BA_RS23325	183		old_locus_tag=BA4965,BA_4965
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509056	4509238	-	WP_000621751.1	WP_000621751.1		sporulation protein Cse60			BA_RS23325	183	60	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509240	4509476	-							BA_RS23330	237		old_locus_tag=BA4966,BA_4966
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509240	4509476	-	WP_000533800.1	WP_000533800.1		DUF2553 family protein			BA_RS23330	237	78	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509732	4510193	+							BA_RS23335	462		old_locus_tag=BA4967,BA_4967
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4509732	4510193	+	WP_003159201.1	WP_003159201.1		CarD family transcriptional regulator			BA_RS23335	462	153	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4510253	4511038	-							BA_RS23340	786		old_locus_tag=BA4968,BA_4968
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4510253	4511038	-	WP_000286668.1	WP_000286668.1		glucose 1-dehydrogenase			BA_RS23340	786	261	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4511052	4511909	-					glcU		BA_RS23345	858		old_locus_tag=BA4969,BA_4969
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4511052	4511909	-	WP_000350855.1	WP_000350855.1		glucose uptake protein GlcU	glcU		BA_RS23345	858	285	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4511946	4512365	-							BA_RS23350	420		old_locus_tag=BA4970,BA_4970
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4511946	4512365	-	WP_000732111.1	WP_000732111.1		DUF3888 domain-containing protein			BA_RS23350	420	139	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4512459	4512692	-					moaD		BA_RS23355	234		old_locus_tag=BA4971,BA_4971
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4512459	4512692	-	WP_000621788.1	WP_000621788.1		molybdopterin converting factor subunit 1	moaD		BA_RS23355	234	77	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4512695	4513159	-					moaE		BA_RS23360	465		old_locus_tag=BA4972,BA_4972
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4512695	4513159	-	WP_000185937.1	WP_000185937.1		molybdopterin synthase catalytic subunit MoaE	moaE		BA_RS23360	465	154	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4513156	4513677	-					mobB		BA_RS23365	522		old_locus_tag=BA4973,BA_4973
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4513156	4513677	-	WP_025388455.1	WP_025388455.1		molybdopterin-guanine dinucleotide biosynthesis protein B	mobB		BA_RS23365	522	173	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4513641	4514930	-					moeA		BA_RS23370	1290		old_locus_tag=BA4974,BA_4974
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4513641	4514930	-	WP_000229682.1	WP_000229682.1		molybdopterin molybdotransferase MoeA	moeA		BA_RS23370	1290	429	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4515014	4515499	+					moaC		BA_RS23375	486		old_locus_tag=BA4975,BA_4975
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4515014	4515499	+	WP_000094141.1	WP_000094141.1		cyclic pyranopterin monophosphate synthase MoaC	moaC		BA_RS23375	486	161	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4515538	4516551	-							BA_RS23380	1014		old_locus_tag=BA4976,BA_4976
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4515538	4516551	-	WP_001158094.1	WP_001158094.1		molybdopterin-synthase adenylyltransferase MoeB			BA_RS23380	1014	337	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4516568	4517620	-					moaA		BA_RS23385	1053		pseudo;old_locus_tag=BA4977,BA_4977
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4516568	4517620	-				GTP 3',8-cyclase MoaA	moaA		BA_RS23385	1053		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4517757	4519139	-							BA_RS23390	1383		old_locus_tag=BA4978,BA_4978
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4517757	4519139	-	WP_232297554.1	WP_232297554.1		exosporium leader peptide-containing protein			BA_RS23390	1383	460	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519340	4519663	-							BA_RS23395	324		old_locus_tag=BA4979,BA_4979
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519340	4519663	-	WP_001110865.1	WP_001110865.1		hypothetical protein			BA_RS23395	324	107	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519684	4519908	-							BA_RS23400	225		old_locus_tag=BA4980,BA_4980
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519684	4519908	-	WP_000512463.1	WP_000512463.1		spore germination protein			BA_RS23400	225	74	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519986	4520291	-							BA_RS23405	306		old_locus_tag=BA4981,BA_4981
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4519986	4520291	-	WP_000141219.1	WP_000141219.1		rhodanese-like domain-containing protein			BA_RS23405	306	101	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4520492	4520674	+							BA_RS23410	183		old_locus_tag=BA4982,BA_4982
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4520492	4520674	+	WP_000171893.1	WP_000171893.1		hypothetical protein			BA_RS23410	183	60	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4520724	4521848	-							BA_RS23415	1125		old_locus_tag=BA4983,BA_4983
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4520724	4521848	-	WP_001167614.1	WP_001167614.1		homoserine O-acetyltransferase			BA_RS23415	1125	374	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4522001	4524244	+							BA_RS23420	2244		old_locus_tag=BA4984,BA_4984
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4522001	4524244	+	WP_000638056.1	WP_000638056.1		spore germination protein			BA_RS23420	2244	747	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4524262	4525356	+							BA_RS23425	1095		old_locus_tag=BA4985,BA_4985
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4524262	4525356	+	WP_000049059.1	WP_000049059.1		spore germination protein			BA_RS23425	1095	364	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4525332	4526411	+					gerHC		BA_RS23430	1080		old_locus_tag=BA4986,BA_4986
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4525332	4526411	+	WP_000411375.1	WP_000411375.1		spore germination protein GerHC	gerHC		BA_RS23430	1080	359	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4526502	4526687	+							BA_RS23435	186		old_locus_tag=BA4987,BA_4987
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4526502	4526687	+	WP_000038783.1	WP_000038783.1		hypothetical protein			BA_RS23435	186	61	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4526877	4527299	+							BA_RS23440	423		old_locus_tag=BA4988,BA_4988
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4526877	4527299	+	WP_000180554.1	WP_000180554.1		hypothetical protein			BA_RS23440	423	140	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4527344	4528096	-							BA_RS23445	753		old_locus_tag=BA4989,BA_4989
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4527344	4528096	-	WP_000677587.1	WP_000677587.1		hypothetical protein			BA_RS23445	753	250	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4528353	4530761	-					leuS		BA_RS23450	2409		old_locus_tag=BA4991,BA_4991
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4528353	4530761	-	WP_000009448.1	WP_000009448.1		leucine--tRNA ligase	leuS		BA_RS23450	2409	802	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4531236	4532429	-							BA_RS23455	1194		old_locus_tag=BA4992,BA_4992
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4531236	4532429	-	WP_001137553.1	WP_001137553.1		MFS transporter			BA_RS23455	1194	397	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4532799	4533980	-							BA_RS23460	1182		old_locus_tag=BA4993,BA_4993
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4532799	4533980	-	WP_000380193.1	WP_000380193.1		cation:proton antiporter			BA_RS23460	1182	393	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4533984	4534481	-							BA_RS23465	498		old_locus_tag=BA4994,BA_4994
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4533984	4534481	-	WP_001026038.1	WP_001026038.1		cation:proton antiporter regulatory subunit			BA_RS23465	498	165	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4534516	4535082	-							BA_RS23470	567		old_locus_tag=BA4995,BA_4995
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4534516	4535082	-	WP_000454202.1	WP_000454202.1		tyrosine-type recombinase/integrase			BA_RS23470	567	188	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4535432	4537291	-							BA_RS23475	1860		old_locus_tag=BA4996,BA_4996
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4535432	4537291	-	WP_000897750.1	WP_000897750.1		ABC transporter permease			BA_RS23475	1860	619	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4537310	4538071	-							BA_RS23480	762		old_locus_tag=BA4997,BA_4997
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4537310	4538071	-	WP_000165840.1	WP_000165840.1		ABC transporter ATP-binding protein			BA_RS23480	762	253	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4538410	4539432	-							BA_RS23485	1023		old_locus_tag=BA4998,BA_4998
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4538410	4539432	-	WP_000526023.1	WP_000526023.1		DUF418 domain-containing protein			BA_RS23485	1023	340	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4539569	4539718	-							BA_RS23490	150		old_locus_tag=BA4999,BA_4999
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4539569	4539718	-	WP_001129338.1	WP_001129338.1		hypothetical protein			BA_RS23490	150	49	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4539734	4539997	-							BA_RS23495	264		old_locus_tag=BA5000,BA_5000
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4539734	4539997	-	WP_000840870.1	WP_000840870.1		YtzC family protein			BA_RS23495	264	87	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4540109	4541068	+							BA_RS23500	960		old_locus_tag=BA5001,BA_5001
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4540109	4541068	+	WP_000868024.1	WP_000868024.1		TIGR01212 family radical SAM protein			BA_RS23500	960	319	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4541065	4541637	+							BA_RS23505	573		old_locus_tag=BA5002,BA_5002
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4541065	4541637	+	WP_000764477.1	WP_000764477.1		class I SAM-dependent methyltransferase			BA_RS23505	573	190	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4541835	4542668	+							BA_RS23510	834		old_locus_tag=BA5003,BA_5003
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4541835	4542668	+	WP_000959729.1	WP_000959729.1		ABC transporter ATP-binding protein			BA_RS23510	834	277	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4542687	4543367	+							BA_RS23515	681		old_locus_tag=BA5004,BA_5004
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4542687	4543367	+	WP_000457758.1	WP_000457758.1		hypothetical protein			BA_RS23515	681	226	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4543392	4544066	+							BA_RS23520	675		old_locus_tag=BA5005,BA_5005
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4543392	4544066	+	WP_000579305.1	WP_000579305.1		amino acid racemase			BA_RS23520	675	224	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4544222	4545523	+							BA_RS23525	1302		old_locus_tag=BA5006,BA_5006
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4544222	4545523	+	WP_000867794.1	WP_000867794.1		PepSY domain-containing protein			BA_RS23525	1302	433	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4545560	4545793	-							BA_RS23530	234		old_locus_tag=BA5007,BA_5007
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4545560	4545793	-	WP_009879716.1	WP_009879716.1		hypothetical protein			BA_RS23530	234	77	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4545834	4546898	-							BA_RS23535	1065		old_locus_tag=BA5008,BA_5008
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4545834	4546898	-	WP_001102457.1	WP_001102457.1		tetraprenyl-beta-curcumene synthase family protein			BA_RS23535	1065	354	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4546936	4547739	-							BA_RS23540	804		old_locus_tag=BA5009,BA_5009
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4546936	4547739	-	WP_000267414.1	WP_000267414.1		alpha/beta hydrolase			BA_RS23540	804	267	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4547814	4548326	+							BA_RS23545	513		old_locus_tag=BA5010,BA_5010
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4547814	4548326	+	WP_000640195.1	WP_000640195.1		gamma carbonic anhydrase family protein			BA_RS23545	513	170	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4548471	4549004	+							BA_RS23550	534		old_locus_tag=BA5011,BA_5011
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4548471	4549004	+	WP_000868599.1	WP_000868599.1		phosphatase PAP2 family protein			BA_RS23550	534	177	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4549017	4550159	+							BA_RS23555	1143		old_locus_tag=BA5012,BA_5012
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4549017	4550159	+	WP_001261624.1	WP_001261624.1		glycosyltransferase family 1 protein			BA_RS23555	1143	380	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4550442	4551044	-							BA_RS23560	603		old_locus_tag=BA5013,BA_5013
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4550442	4551044	-	WP_000049605.1	WP_000049605.1		molybdenum cofactor guanylyltransferase			BA_RS23560	603	200	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551041	4551550	-							BA_RS23565	510		old_locus_tag=BA5014,BA_5014
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551041	4551550	-	WP_000117134.1	WP_000117134.1		MogA/MoaB family molybdenum cofactor biosynthesis protein			BA_RS23565	510	169	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551788	4551967	+							BA_RS23570	180		old_locus_tag=BA5015,BA_5015
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551788	4551967	+	WP_000424805.1	WP_000424805.1		hypothetical protein			BA_RS23570	180	59	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551974	4552153	+							BA_RS23575	180		old_locus_tag=BA5016,BA_5016
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4551974	4552153	+	WP_000488706.1	WP_000488706.1		hypothetical protein			BA_RS23575	180	59	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4552194	4553393	-					metK		BA_RS23580	1200		old_locus_tag=BA5017,BA_5017
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4552194	4553393	-	WP_000163125.1	WP_000163125.1		methionine adenosyltransferase	metK		BA_RS23580	1200	399	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4553913	4555499	+					pckA		BA_RS23585	1587		old_locus_tag=BA5019,BA_5019
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4553913	4555499	+	WP_000108800.1	WP_000108800.1		phosphoenolpyruvate carboxykinase (ATP)	pckA		BA_RS23585	1587	528	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4555789	4555986	+							BA_RS23590	198		old_locus_tag=BA5020,BA_5020
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4555789	4555986	+	WP_000788121.1	WP_000788121.1		hypothetical protein			BA_RS23590	198	65	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4556195	4556578	-							BA_RS23595	384		old_locus_tag=BA5022,BA_5022
